id,claim_or_optimization,quality_category,applicable_models_hardware_precision_workloads,baseline_throughput,optimized_throughput,ttft_itl_total_tail,gpu_memory_and_utilization,expected_savings_and_confidence,engineering_difficulty,production_maturity,interactions,reproduction,disconfirming_evidence,source
E01,"Immutable GLM-5.2-FP8 checkpoint at revision ba978f7; 1,048,576-token native context",Bitwise artifact identity only when every checkpoint/config/tokenizer/template file hash-matches; generated outputs are not promised bitwise-identical,zai-org/GLM-5.2-FP8; exact FP8 files; TP8 B200/H200 qualification; all workloads,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,Repository is about 756GB; runtime HBM/utilization NOT_MEASURED,No saving claimed; high confidence in artifact metadata after local hashing,Low to hash; high to qualify full context,Model author documents SGLang and vLLM serving,KV precision and long-context cache capacity; any conversion breaks identity,Download exact revision; hash all files; run native 1M boundary with BF16 KV,A repo alias or metadata view does not prove local bytes; full context may still OOM or violate tails,S1; S2
E02,"Immutable Qwen3-32B-FP8 checkpoint at revision aa55da1; 32.8B parameters; blocked FP8; 32,768 native context",Requested FP8 checkpoint identity; FP8 remains lossy relative to an unquantized parent but no higher-precision model is substituted,"Qwen/Qwen3-32B-FP8; one H100 80GB primary, one H200 141GB sensitivity; BF16 KV",NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,Artifact about 34.3GB; runtime HBM/utilization NOT_MEASURED,No engine saving claimed; high confidence in architecture/artifact metadata,Medium,Official card documents SGLang and vLLM; TRT-LLM/LMDeploy require exact-snapshot smoke,"Thinking mode, chat template, native context versus altered YaRN, KV headroom",Hash exact revision; TP1; native 32K; BF16 KV; same template kwargs,131K YaRN changes RoPE and is not the same ranked configuration; family support is not exact snapshot proof,S3; S4; S9; S11; S14
E03,SGLang v0.5.16 is the provisional GLM launch candidate,Mathematically intended equivalent in BF16-KV lane; not bitwise invariant across kernels/batches,Both exact checkpoints; NVIDIA H100/H200/B200; baseline and tuned workloads,NOT_MEASURED in this package,NOT_MEASURED; source reports only scoped unrelated or component results,NOT_MEASURED,"Source reports GLM-5.2 DSA split 0.77 to 0.20GB/rank at 8192 tokens, cp_size=4; whole-system utilization NOT_MEASURED",No fixed COGS saving accepted; medium confidence that GLM-specific work makes it the best first candidate,Medium-high,Current stable release with exact-model work,"CP, DSA cache split, MTP, graphs, radix cache, FlashInfer, MoE backend","Pin 0.5.16/fdebc93, FlashInfer 0.6.14, sgl-kernel 0.4.5; supplied launch scripts and protocol",Release documents temperature-zero nondeterminism on a DP-attention/breakable-prefill graph path; component memory result is not throughput or COGS,S5; S6
E04,vLLM v0.26.0 is the mandatory challenger and operational fallback,Mathematically intended equivalent in BF16-KV lane; not bitwise invariant,Both exact checkpoints; NVIDIA H100/H200/B200,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,NOT_MEASURED,No fixed saving; high confidence it is a credible challenger due exact model support and broad operations surface,Medium-high,Current stable release,"Compile/graphs, chunked prefill, TP/EP/CP, prefix cache, MTP, KV tiers",Pin 0.26.0/568afb3; use common client and exact launch manifests,Release optimization numbers are model/kernel-specific; GLM5.2 change alone does not establish rank,S7; S8; S9
E05,TensorRT-LLM 1.3.0rc23 is qualification-only for GLM and conditional for Qwen3-32B-FP8,Unknown until loader/config prove exact weights and BF16 KV; conversion or altered precision is not equivalent,Exact snapshots only; same-GPU lane after smoke,NOT RANKED before admission,NOT RANKED before admission,NOT MEASURED,NOT MEASURED,None assumed,High,Pre-release; generic Qwen3 and GLM-5 architectures documented,"Loader v2, scheduler, CUDA graphs, KV transceiver, precision config",Run supplied qualification scripts; capture resolved config; reject conversion; full-context and API gates,Exact GLM-5.2-FP8 and Qwen3-32B blocked-FP8 snapshots are not explicit validated examples; release lists hangs/crashes/OOMs elsewhere,S10; S11; S12
E06,"LMDeploy v0.15.0 is the fourth same-GPU engine, admitted only after exact-checkpoint precision smoke",Unknown until exact blocked-FP8 load and BF16 KV are proved,Qwen3-32B primary; GLM family qualification only,NOT RANKED before admission,NOT RANKED before admission,NOT MEASURED,NOT MEASURED,None assumed,High,Current stable release; family support matrix exists,"PyTorch versus TurboMind backend, model-format, quant-policy, prefix cache, MTP",Run exact checkpoint qualification; prove no conversion and BF16 KV; native context; API parity,"Support matrix is family-level; v0.15.0 specifically notes FP8 MoE work for Qwen3.5, not proof for this exact dense blocked-FP8 snapshot",S13; S14; S15
E07,"Continuous batching, paged KV, fused attention, CUDA graphs, chunked prefill, and multi-GPU parallelism","Normally mathematically intended equivalent, but implementation bugs/numerical ordering can diverge",All admitted engines; exact-model baseline,Engine-native feature-off where possible,Must be measured per feature and interaction,All required; throughput-only evidence rejected,All required,No transferable fixed saving; table stakes,Medium to operate; high to tune robustly,Commodity primitives in current engines,Every scheduler/cache/speculation/parallelism knob,Common baseline then frozen two-hour tuning budget; paired ablations,At low load graphs/batching may not help; memory reservations and shape changes can hurt context or tails,S5; S6; S7; S8; S10; S13
E08,Native MTP/speculative decoding,Distribution-preserving only if verification and sampling semantics are exact; otherwise divergent/lossy,Model/engine-specific; decode-heavy outputs; stochastic and deterministic lanes,MTP/speculation off; NOT MEASURED,MTP/speculation on; NOT MEASURED,All required; acceptance length and verifier overhead required,Draft/verification buffers and utilization required,No fixed saving; low confidence before measured acceptance by workload,High,Available but model/config specific,"Batch size, temperature, output length, graphs, cache, queueing","Paired prompts/seeds; record accepted tokens, verify calls, distributions and tails",Low acceptance or verification overhead can lower throughput; acceptance-length improvement is not equal to cost saving,S1; S3; S5; S7; S10; S13
E09,Prefix/radix caching and cache-affinity routing,Mathematically intended equivalent for exact token-prefix reuse; isolation/collision/state bugs can corrupt behavior,Repeated exact prefixes; tenant-isolated 4K/16K/32K/128K fanout tests,Cache off/cold; NOT MEASURED,Cache on/warm; NOT MEASURED,TTFT and prefill E2E primary; decode ITL may not change,"Retained KV bytes, eviction, HBM rent and cache pressure required","Depends on hit rate, prefix length, fanout, eviction and memory opportunity cost; no fixed saving",Medium-high,Commodity cache primitive; routing policy can be proprietary,"KV dtype, block size, tenant isolation, scheduler, long context",Cold/warm/eviction matrix; cryptographic prompt hashes; tenant boundary tests,Low hit rate/cache pollution may raise cost; insecure hashes or incorrect scope can leak/corrupt data,S6; S8; S10; S13
E10,FP8 or lower-precision KV cache,Lossy; separate scorecard only,Long context and KV-capacity-bound workloads,BF16 KV; NOT MEASURED,FP8 KV; NOT MEASURED,All required,"HBM saved, max concurrency/context, bandwidth and utilization required",May increase capacity; no fixed compute/COGS saving; low confidence until quality and workload test,Medium,Available in major engines but not equivalent,"Scales/calibration, prefix cache, context, kernels, graph capture",Same exact checkpoint; paired quality and stochastic tests; never pool with BF16-KV results,Quality can degrade; scale defaults may be wrong; capacity can rise without useful throughput,S6; S8; S10; S14; S15
